,text,search_term,label0
2,"The Dow just hit 29,000. $AAPL, $GS, $UNH, $NKE, $MSFT and $MCD have been the best performing components since the Dow hit 28,000 in November.",MSFT,1
3,"Microsoft beat on revenue expectations, driven by strength in its cloud computing platform Azure. The company's intelligent cloud segment revenue, which include Azure, rose 27% to nearly $12 billion",MSFT,1
4,"Tesla and Microsoft topped Wall Street earnings expectations, while Facebook reported rising costs and expenses ",MSFT,1
6,Microsoft pledges to completely remove carbon footprint amid criticism over work with oil g$1iants,Microsoft,1
11,Microsoft ex-employee says contractors in China reviewed audio recordings from Skype calls with ZERO SECURITY ,Microsoft,1
13,"Stocks making the biggest moves midday: Tesla, Penn National Gaming, Facebook, Microsoft &amp; more ",Microsoft,1
14,"Take a look inside Microsoft's flagship London store — fit with an Xbox gaming room, the latest HoloLens headset and even a McLaren sports car. (via @CNBCi)",Microsoft,1
16,"Here's why Microsoft, Google and Apple want you to ditch your password. ",Microsoft,1
17,"Microsoft says it aims to remove more carbon from the atmosphere than it emits by 2030. By 2050, it hopes to have taken out enough to account for all the direct emissions the company has ever made.",Microsoft,1
18,"Microsoft's Super Bowl ad thanks Katie Sowers, the first woman to coach in the big game ",Microsoft,1
19,"Salesforce, which once tried to buy LinkedIn, hires an exec from the Microsoft-owned company ",Microsoft,1
20,"Have trouble keeping track of all of your username and password combos? Watch the full video here to see why companies like Google, Apple and Microsoft want you to ditch your passwords, for good: ",Microsoft,1
21,"Microsoft’s Xbox is one of the world’s most popular gaming consoles. So, why hasn’t it seen success in Japan? Watch the full video here: ",Microsoft,1
22,Microsoft health's Peter Lee says medical industry needs to help patients access to their data ,Microsoft,0
23,Apple and Microsoft representatives are set to join a meeting on Monday promoting patient access to health data ,Microsoft,1
26,Microsoft shows how it wants apps to look on its new dual-screen computers ,Microsoft,1
27,"China cares as deeply about A.I. ethics as the US, Microsoft CEO says, as he calls for global rules ",Microsoft,1
30,How Microsoft's new carbon-negative plan will test the idea of a climate economy ,Microsoft,1
31,Here's what streaming video game services from Google mean for the Sony-Microsoft console wars. ,Microsoft,0
32,"Microsoft CEO's recommends these 2 morning rituals to help ""orient yourself for the day."" (via @CNBCMakeIt)",Microsoft,1
33,"In this #CNBCClassic clip from 2000, Bill Gates announces he is stepping down as CEO after building Microsoft into the most powerful company in the world.",Microsoft,1
34,"Why Microsoft, Google and Apple want you to ditch your password ",Microsoft,1
35,"In the stock market, it's become Apple, Microsoft and Alphabet vs everyone else ",Microsoft,0
36,"The capitalist system “will fundamentally be in jeopardy” due to climate change, Microsoft CEO Satya Nadella told @MadMoneyOnCNBC's @JimCramer yesterday. ",Microsoft,1
39,Slack shares dip as Microsoft prepares global ad campaign for Teams. ,Microsoft,1
40,Microsoft is bringing out the big guns against Slack with new global ad campaign for Teams ,Microsoft,1
42,"In climate push, Microsoft to erase its carbon footprint from atmosphere. ",Microsoft,1
44,Satya Nadella credits Steve Ballmer for Microsoft's initial push into the cloud ,Microsoft,1
45,COMING UP: @MadMoneyOnCNBC's @JimCramer interviews Microsoft CEO Satya Nadella on the Microsoft campus in Redmond. ,Microsoft,1
48,Apple buys an A.I. start-up that came from Microsoft co-founder Paul Allen's research lab ,Microsoft,1
59,Microsoft calls on Samsung to bring its walkie-talkie technology to workplace smartphones ,Microsoft,1
64,Google sold Android search privileges to the highest bidder in Europe — and Microsoft is losing out ,Microsoft,1
65,"Here are Wednesday's biggest analyst calls of the day: Boeing, Cisco, Microsoft, Southwest &amp; more ",Microsoft,1
66,"Bill Gates says that tax rates on the wealthy were nearly double when Microsoft started and ""it didn't hurt"" them. (via @CNBCMakeIt)",Microsoft,1
67,"Microsoft Azure has an edge over Amazon Web Services at big companies, Goldman Sachs survey says ",Microsoft,1
69,"In Bill Gates' Microsoft days, he thought ""sleeping a lot was lazy""—now he needs 7 hours a night. (via @CNBCMakeIt)",Microsoft,1
70,"Microsoft paid $26 billion for LinkedIn, then mostly left it alone — CEO Jeff Weiner is good with that.",Microsoft,1
71,"Apple, Google, and Microsoft might not be thrilled to know that the employees helping make their tech are sending their own kids to tech-free schools. ",Microsoft,1
73,How to know if your Microsoft account's been hacked: Check here to see if you've been compromised ,Microsoft,1
74,Why Bill Gates' net worth is so high 20 years since stepping down as Microsoft CEO,Microsoft,1
76,"Microsoft, Citi and Walmart are amongst the firms who have made the corporate climate action A list ",Microsoft,1
82,"Companies including Apple, Microsoft and BMW have called for the EU to target so-called patent trolls, who buy up patents in the hope of making a profit through licences or lawsuits ",Microsoft,1
86,Microsoft pledges to be 'carbon negative' by 2030,Microsoft,1
88,"The phenomenon is named for Clippy, the Microsoft Office assistant who never really assisted anyone. ",Microsoft,1
91,"Google parent Alphabet valuation hit $1 trillion, joins Apple, Microsoft",Microsoft,1
105,Xbox Game Pass makes a strong case for Microsoft’s game subscription service ,Microsoft,1
109,"Microsoft pledged a carbon-free future. A couple hours later, it fired up its diesel generators. ",Microsoft,1
110," Listen: In today’s What’s News podcast, our journalists break down strong results from Facebook, Microsoft and Tesla, and increasing investor concern over the new coronavirus outbreak ",Microsoft,1
111,"Facing probes and growing public backlash, leaders at Microsoft, Apple, Google and Facebook call for new laws ",Microsoft,1
115,Amazon and Microsoft are trading barbs as they wrestle for supremacy of the $266 billion cloud-computing market,Microsoft,1
117,"Microsoft cloud revenue regains momentum, sending profit above Street estimates ",Microsoft,1
120,"Cloud, Windows sales power Microsoft earnings above Wall Street estimates ",Microsoft,1
122,ICYMI: Microsoft President @BradSmi says an all-out ban on facial recognition technology would have a downside for do-gooders #wef20 #reutersdavos,Microsoft,1
127,"Alphabet CEO backs temporary ban on facial-recognition, Microsoft disagrees ",Microsoft,1
130,"Microsoft creates a 'Climate Innovation Fund,' which will invest $1 billion over the next four years to speed up the development of carbon removal technology",Microsoft,1
135,"Alphabet's market capitalization topped $1 trillion shortly before trading closed. The Google parent joins Microsoft, Amazon and Apple in having crossed that threshold",Microsoft,1
136,"Microsoft to erase its carbon footprint, past and future, in climate push ",Microsoft,1
144,Can Microsoft's 'moonshot' carbon goal succeed? ,Microsoft,1
145,"Microsoft reported better-than-expected earnings and revenue for the three months ending in December, easily beating analysts' estimates and sending its stock up 3% in after-hours trading",Microsoft,1
151,Microsoft wants to eradicate its carbon footprint by 2050,Microsoft,1
165,"New data obtained through a freedom of information request shows the widespread extent of Ontario's ""hallway medicine"" problem, something that Premier Doug Ford has promised to end. ",Ford,0
166,"In an email on Sunday, the office of Ontario Premier Doug Ford confirmed the alert about the Pickering nuclear plant was a mistake. ",Ford,0
167,Ford died at home on Sunday of cancer. She was 85.,Ford,0
168,"The Ford matriarch died, at the age of 85, surrounded by her family and friends in Etobicoke.",Ford,0
169,"John Ford: His 10 greatest films, from Fort Apache to The Searchers",Ford,0
174,10 best movies ever made by John Ford,Ford,0
178,Car Review: Ford Puma – fun drive that’s the cat’s whiskers ,Ford,0
180,Ford and EV start-up Rivian plan to produce an all-electric vehicle for Lincoln ,Ford,1
181,Ford’s Mustang Mach-E is part of the company’s $11 billion plan to develop 40 new all-electric and hybrid models by 2022.,Ford,1
182,"Ford expects $2.2 billion pretax hit due to pension plans, retirement benefits in Q4",Ford,1
183,"WATCH: @andrewrsorkin moderates our “Valuing Unicorns” panel live from Davos, with panelists including Goldman Sachs CEO David Solomon, NYSE President Stacey Cunningham and General Atlantic CEO William Ford. #Davos2020",Ford,0
