,text,search_term,related,sentiment1,sentiment2,sentiment3
2,"The Dow just hit 29,000. $AAPL, $GS, $UNH, $NKE, $MSFT and $MCD have been the best performing components since the Dow hit 28,000 in November.",MSFT,1.0,1.0,0.0,1.0
3,"Microsoft beat on revenue expectations, driven by strength in its cloud computing platform Azure. The company's intelligent cloud segment revenue, which include Azure, rose 27% to nearly $12 billion",MSFT,1.0,-1.0,1.0,1.0
6,Microsoft pledges to completely remove carbon footprint amid criticism over work with oil g$1iants,Microsoft,1.0,-1.0,1.0,0.5
14,"Take a look inside Microsoft's flagship London store — fit with an Xbox gaming room, the latest HoloLens headset and even a McLaren sports car. (via @CNBCi)",Microsoft,1.0,0.0,1.0,0.0
16,"Here's why Microsoft, Google and Apple want you to ditch your password. ",Microsoft,1.0,-1.0,1.0,0.0
18,"Microsoft's Super Bowl ad thanks Katie Sowers, the first woman to coach in the big game ",Microsoft,1.0,0.0,1.0,0.0
20,"Have trouble keeping track of all of your username and password combos? Watch the full video here to see why companies like Google, Apple and Microsoft want you to ditch your passwords, for good: ",Microsoft,1.0,-1.0,1.0,0.0
21,"Microsoft’s Xbox is one of the world’s most popular gaming consoles. So, why hasn’t it seen success in Japan? Watch the full video here: ",Microsoft,1.0,0.0,-1.0,-1.0
26,Microsoft shows how it wants apps to look on its new dual-screen computers ,Microsoft,1.0,0.0,1.0,0.0
27,"China cares as deeply about A.I. ethics as the US, Microsoft CEO says, as he calls for global rules ",Microsoft,1.0,-1.0,1.0,0.0
30,How Microsoft's new carbon-negative plan will test the idea of a climate economy ,Microsoft,1.0,-1.0,1.0,0.0
31,Here's what streaming video game services from Google mean for the Sony-Microsoft console wars. ,Microsoft,0.0,-1.0,0.0,0.0
34,"Why Microsoft, Google and Apple want you to ditch your password ",Microsoft,1.0,-1.0,1.0,0.0
35,"In the stock market, it's become Apple, Microsoft and Alphabet vs everyone else ",Microsoft,0.0,-1.0,1.0,-0.5
36,"The capitalist system “will fundamentally be in jeopardy” due to climate change, Microsoft CEO Satya Nadella told @MadMoneyOnCNBC's @JimCramer yesterday. ",Microsoft,1.0,0.0,-1.0,-1.0
42,"In climate push, Microsoft to erase its carbon footprint from atmosphere. ",Microsoft,1.0,,1.0,1.0
48,Apple buys an A.I. start-up that came from Microsoft co-founder Paul Allen's research lab ,Microsoft,1.0,0.0,-1.0,-1.0
59,Microsoft calls on Samsung to bring its walkie-talkie technology to workplace smartphones ,Microsoft,1.0,1.0,0.0,0.0
65,"Here are Wednesday's biggest analyst calls of the day: Boeing, Cisco, Microsoft, Southwest &amp; more ",Microsoft,1.0,1.0,0.0,0.0
70,"Microsoft paid $26 billion for LinkedIn, then mostly left it alone — CEO Jeff Weiner is good with that.",Microsoft,1.0,-1.0,1.0,1.0
71,"Apple, Google, and Microsoft might not be thrilled to know that the employees helping make their tech are sending their own kids to tech-free schools. ",Microsoft,1.0,,1.0,0.0
74,Why Bill Gates' net worth is so high 20 years since stepping down as Microsoft CEO,Microsoft,1.0,,0.0,0.0
82,"Companies including Apple, Microsoft and BMW have called for the EU to target so-called patent trolls, who buy up patents in the hope of making a profit through licences or lawsuits ",Microsoft,1.0,,0.0,0.0
86,Microsoft pledges to be 'carbon negative' by 2030,Microsoft,1.0,,1.0,1.0
91,"Google parent Alphabet valuation hit $1 trillion, joins Apple, Microsoft",Microsoft,1.0,1.0,0.0,0.0
109,"Microsoft pledged a carbon-free future. A couple hours later, it fired up its diesel generators. ",Microsoft,1.0,-1.0,1.0,0.5
110," Listen: In today’s What’s News podcast, our journalists break down strong results from Facebook, Microsoft and Tesla, and increasing investor concern over the new coronavirus outbreak ",Microsoft,1.0,-1.0,1.0,1.0
115,Amazon and Microsoft are trading barbs as they wrestle for supremacy of the $266 billion cloud-computing market,Microsoft,1.0,1.0,0.0,0.5
122,ICYMI: Microsoft President @BradSmi says an all-out ban on facial recognition technology would have a downside for do-gooders #wef20 #reutersdavos,Microsoft,1.0,-1.0,,0.0
127,"Alphabet CEO backs temporary ban on facial-recognition, Microsoft disagrees ",Microsoft,1.0,,,0.0
135,"Alphabet's market capitalization topped $1 trillion shortly before trading closed. The Google parent joins Microsoft, Amazon and Apple in having crossed that threshold",Microsoft,1.0,1.0,0.0,0.0
144,Can Microsoft's 'moonshot' carbon goal succeed? ,Microsoft,1.0,0.0,-1.0,0.0
165,"New data obtained through a freedom of information request shows the widespread extent of Ontario's ""hallway medicine"" problem, something that Premier Doug Ford has promised to end. ",Ford,0.0,-1.0,0.0,0.0
166,"In an email on Sunday, the office of Ontario Premier Doug Ford confirmed the alert about the Pickering nuclear plant was a mistake. ",Ford,0.0,-1.0,0.0,0.0
185,"Iran retaliation, Ford sales and service sector data: 3 things to know for Monday",Ford,1.0,,0.0,0.0
189,Steve McQueen's Ford Mustang from Bullitt sells for $3.4m at auction,Ford,1.0,1.0,0.0,0.0
198,Review: A gorgeous “Ford v Ferrari” demands a drive to the theater ,Ford,1.0,0.0,1.0,0.0
201,With a fleet of electrified SUVs hitting the market in 2020—including Ford's battery-electric Mustang Mach-E and Toyota's plug-in RAV4—the auto industry is seeking better returns on its investment in plug-in technology,Ford,1.0,1.0,-1.0,1.0
216,Ford Mustang driven by Steve McQueen in 'Bullitt' sells for $3.4 million,Ford,1.0,1.0,0.0,0.0
229,"Facebook, Ford and other high-profile companies have told their employees not to travel to China as the deadly coronavirus continues to spread ",Ford,1.0,0.0,-1.0,0.0
232,"Steve McQueen's iconic car from the 1968 film ""Bullitt"" just became the most valuable Ford Mustang ever sold at auction. The Ford Mustang GT, made famous by the movie's 11-minute car chase, went for $3.7 million, including auction fees.",Ford,1.0,1.0,0.0,0.5
263,Sky's deal could prevent rivals Virgin and BT from offering Disney+ packages ,Disney,1.0,,-1.0,-0.5
265,Disney is making a live-action version of Bambi ,Disney,1.0,,1.0,0.0
266,Disney plans to start shooting Bambi as next live-action remake ,Disney,1.0,0.0,1.0,0.0
276,New Star Wars film already in the works – and Disney knows who it wants as director ,Disney,1.0,,1.0,0.0
289,Star Wars actor wants Rise of Skywalker director's cut amid claims of 'meddling' from Disney ,Disney,1.0,0.0,-1.0,-0.5
290,JJ Abrams reportedly left 'devastated' by Disney's final cut of Star Wars ,Disney,1.0,0.0,-1.0,0.0
294,Airbnb hires Disney veteran to lead Experiences division ahead of expected public listing this year ,Disney,1.0,0.0,1.0,0.5
304,Disney's virtual reality jacket can make you feel buff without hitting the gym. ,Disney,1.0,0.0,1.0,0.5
310,"'Missing Link' upsets Disney, takes home best animated feature at 2020 Golden Globes",Disney,1.0,0.0,-1.0,-0.5
